File	KPF	Left Context	Hit	Right Context
Benefits of a full-body lymphatic m.txt	53	and fingers so i'm just going to do the 	back 	of the hand and then you can do the 
Benefits of a full-body lymphatic m.txt	53	going to go on to the wrist excuse me the 	back 	of the hand and the finger so i'm 
Benefits of a full-body lymphatic m.txt	53	hand and the finger so i'm gonna do the 	back 	of the hand if someone has tendons that stick 
Benefits of a full-body lymphatic m.txt	53	the fluid moving so we're going back to the 	back 	of the hand again you can spend as much 
Benefits of a full-body lymphatic m.txt	52	the side of the neck  wrapping my fingers around the 	back 	of the neck  five to eight times and then 
Effleurage and Petrissage.txt	52	use one hand to keep the hair away from the 	back 	of the neck and then I'm going to 
Effleurage and Petrissage.txt	52	a kneading technique a one-handed kneading technique into the 	back 	of the neck here if you find that your 
Benefits of a full-body lymphatic m.txt	52	the knee and up now when we get to the 	back 	of the thigh again there are no lymph nodes 
Benefits of a full-body lymphatic m.txt	52	of wrapping your you're  guiding the fluid from the 	back 	of the thigh towards the front up and around 
Benefits of a full-body lymphatic m.txt	52	front all sides and remember if you're working the 	back 	of the thigh you're working up and around 
Benefits of a full-body lymphatic m.txt	51	then we have lymph nodes that are right in the 	back 	of the knee so i'm going to sit 
Benefits of a full-body lymphatic m.txt	51	again kind of work around the kneecap area around the 	back 	of the knee doing some circles there working around 
Benefits of a full-body lymphatic m.txt	51	up to the lower leg upwards same thing in the 	back 	of the leg you can go straight up the 
Benefits of a full-body lymphatic m.txt	51	and outer thigh and then as you get into the 	back 	of the leg make sure you're wrapping around 
Benefits of a full-body lymphatic m.txt	51	as much time as you need and now for the 	back 	of the lower leg like we talked about the 
Benefits of a full-body lymphatic m.txt	51	the back and again you can go straight up the 	back 	of the lower leg around that calf area to 
Benefits of a full-body lymphatic m.txt	50	when you need to and then we're into the 	back 	of the arm gravity does make a difference it 
Benefits of a full-body lymphatic m.txt	50	can reach you're working from the middle towards the 	back 	of the armpit on the back so i can'
Benefits of a full-body lymphatic m.txt	50	ve printed that out you will see that on the 	back 	of the diagram as well and after we've 
Circadia University Body Treatment.txt	50	This also helps reduce cellulite. I love to get the 	back 	of the heel and around the ankles because they 
Circadia University Body Treatment.txt	50	Feet Now we're going to move on to the 	back 	of the legs using the same diaper drape. I 
Effleurage and Petrissage.txt	50	the rib cage and then we can come around the 	back 	of the scapula and then from here we can 
Benefits of a full-body lymphatic m.txt	50	around towards that armpit  area if you're in the 	back 	of the shoulder you can kind of work back 
Effleurage and Petrissage.txt	50	is at the center of the back com off the 	back 	of the vertebral column so we're going to 
Benefits of a full-body lymphatic m.txt	27	i'm kind of wrapping my fingers around towards the 	back 	of my neck as well  to make sure that 
Effleurage and Petrissage.txt	26	six times to get the massage medium applied to the 	back 	and then from here I'm going to move 
Effleurage and Petrissage.txt	26	then reducing the pressure as I come back down the 	back 	and then from here I'm going to move 
Benefits of a full-body lymphatic m.txt	25	behind the knee so you can go straight up the 	back 	and then after we've spent that time in 
Effleurage and Petrissage.txt	25	and around the deltoids so covering one side of the 	back 	and then coming on onto the other side of 
Benefits of a full-body lymphatic m.txt	25	to the upper arm make sure you get in the 	back  	and then you can finish with the shoulder again 
Benefits of a full-body lymphatic m.txt	22	the thigh again there are no lymph nodes in the 	back 	and so again everything comes to  the front so 
Benefits of a full-body lymphatic m.txt	22	side of the neck and  a little bit in the 	back 	and so we're going to start with this 
Benefits of a full-body lymphatic m.txt	21	sides  and then we're going to work in the 	back 	and again you can go straight up the back 
Effleurage and Petrissage.txt	21	the neck so I've kneed the hole of the 	back 	and as I come into the neck I'm 
Benefits of a full-body lymphatic m.txt	21	collarbone and below the ear and so we can go 	back 	and do them again if we want but from 
