File	KPF	Left Context	Hit	Right Context
Nervous System Reset Self foot re.txt	17	to an end I'll move into slow caring touches 	just 	to give some love to the foot and just 
Circadia University Body Treatment.txt	17	drape. I like to hold my client's ankles underneath 	just 	to give them a little bit more support and 
Nervous System Reset Self foot re.txt	17	or ear infections or conditions, then this can be wonderful 	just 	to work across the toes. As we move to 
Nervous System Reset Self foot re.txt	17	you suffer with ovarian pain, PMS, heavy periods.  Really great 	just 	to work over the ankle.  So that is the 
The FULL GUIDE to ALL MASSAGE STYLE.txt	16	say about it. I'll say a little bit more 	just 	to distinguish. It's very very light surface level 
Nervous System Reset Self foot re.txt	16	just go down to the ankle.  It feels really nice 	just 	to do some circles here to help with flexibility 
The FULL GUIDE to ALL MASSAGE STYLE.txt	16	after the event, it's also very light, very fast, 	just 	to help flush all the tissue and kind of 
Nervous System Reset Self foot re.txt	16	solar plexus to become tight. So, it's really nice 	just 	to hold in and take some deep breaths at 
Nervous System Reset Self foot re.txt	16	nice slow movements with my thumb or palm. This is 	just 	to keep the foot nice and warm and relaxed 
Nervous System Reset Self foot re.txt	16	seven and a half thousand nerve endings in the feet 	just 	to let the feet know that we are now 
Benefits of a full-body lymphatic m.txt	16	want we can do a couple circles in the armpit 	just 	to make sure we're keeping those lymph nodes 
Nervous System Reset Self foot re.txt	16	some oil or lotion as I've done just here 	just 	to protect my clothing. I've just popped a 
Benefits of a full-body lymphatic m.txt	16	circles right in that crease area right in the  groin 	just 	to stimulate those lymph nodes and then we're 
Nervous System Reset Self foot re.txt	16	touches just to give some love to the foot and 	just 	to tell the nervous system the treatment is coming 
Benefits of a full-body lymphatic m.txt	22	and wrist so our hand and fingers so i'm 	just 	going to do the back of the hand and 
Effleurage and Petrissage.txt	22	move on to our next um Petr technique I'm 	just 	going to do two to three Strokes of eaj 
Nervous System Reset Self foot re.txt	21	of you who might be new to reflexology, I'm 	just 	going to begin by quickly showing you three images 
Benefits of a full-body lymphatic m.txt	21	any reason and we start with the fingers it's 	just 	going to get clogged and backed up here and 
Circadia University Body Treatment.txt	21	same motion as we did in the front; we're 	just 	going to go straight up towards the heart using 
Effleurage and Petrissage.txt	21	that your client's shoulders are quite high up then 	just 	going to move those shoulders away from the ears 
Benefits of a full-body lymphatic m.txt	21	can spend as much time as you need i'm 	just 	going to speed it up a little bit for 
Effleurage and Petrissage.txt	21	back and as I come into the neck I'm 	just 	going to use one hand to keep the hair 
Benefits of a full-body lymphatic m.txt	21	i'm going to use two hands and we're 	just 	going to work in the front of the leg 
Benefits of a full-body lymphatic m.txt	21	the head and neck and face area and i'm 	just 	going to zoom in a little bit so it'
Nervous System Reset Self foot re.txt	13	the middle of the foot.  As I am filming this 	just 	a few days after Christmas, I actually can feel 
Massage Therapy Dos and Don'ts.txt	13	headache, you can lay down and work these muscles. Even 	just 	a few minutes can make a big difference. I 
Benefits of a full-body lymphatic m.txt	13	work in the toes they can do each toe individually 	just 	like the fingers but one thing that people tend 
Massage Basics Anatomy Overview Pt.txt	13	two parts it has what we call a nuclear membrane 	just 	like the skin had its own membrane the nuclear 
PROS & CONS of a Massage Therapy Ca.txt	12	that you will not earn a consistent income that's 	just 	a fact of the industry that very very few 
Massage Basics Anatomy Overview Pt.txt	12	organelles in them now keep in mind that that is 	just 	a good generate general cell that is just stuffed 
Unlock Medical Terminology for Mass.txt	12	Come here. So let's see. The first chapter is 	just 	a little introduction. And then we have chapter 2, how 
Benefits of a full-body lymphatic m.txt	12	as you want then we're going to just spend 	just 	a moment around the knee same thing like the 
Nervous System Reset Self foot re.txt	12	a truly wonderful area to give some focus to. And 	just 	a quick tip, if your nails are too long 
The FULL GUIDE to ALL MASSAGE STYLE.txt	12	it is a longer term effect than let's say 	just 	a rapid Swedish massage. However, it's a rapid 
The FULL GUIDE to ALL MASSAGE STYLE.txt	12	I just want to make clear that that's really 	just 	a the same term as Ralphing. Ida Rolf who 
