File	KPF	Left Context	Hit	Right Context
Benefits of a full-body lymphatic m.txt	284	spend as much time as you want then  we're 	going 	to go ahead and make sure we clear that 
Circadia University Body Treatment.txt	284	help remove any dead skin.  Dry Brushing Technique We’re 	going 	to go ahead and start our dry brushing. With 
Circadia University Body Treatment.txt	284	or right before you wax.  Back Brushing Now we're 	going 	to go ahead and turn my client over. In 
Circadia University Body Treatment.txt	284	getting two for the price of one. Now we're 	going 	to go ahead and complete the other steps on 
Unlock Medical Terminology for Mass.txt	284	articular cartilage does not refer to bone, but we're 	going 	to go ahead and scoot that aside and put 
Benefits of a full-body lymphatic m.txt	284	re going to go in reverse and so we're 	going 	to go back up the arm doing the same 
Benefits of a full-body lymphatic m.txt	284	re going back to the hand and then we're 	going 	to go back to the lower arm working towards 
Benefits of a full-body lymphatic m.txt	284	your own and once you've done that you're 	going 	to go back up to the upper arm so 
Benefits of a full-body lymphatic m.txt	284	for the sake of the video and then we're 	going 	to go back to the thigh and so from 
Benefits of a full-body lymphatic m.txt	284	they can spend more time there but then we're 	going 	to go back up towards the ankle to the 
Benefits of a full-body lymphatic m.txt	284	necessarily matter but after we've done those we're 	going  	to go to the lymph nodes that are right 
Benefits of a full-body lymphatic m.txt	284	to get all area of the lower arm we're 	going 	to go to the hand and wrist so our 
Benefits of a full-body lymphatic m.txt	284	the lymph nodes that are there and then we're 	going 	to go to the lower arm so wrist to 
Benefits of a full-body lymphatic m.txt	284	and after we've done that area then we're 	going 	to go to the lower leg and so starting 
Benefits of a full-body lymphatic m.txt	284	leg getting all areas of that lower leg we're 	going 	to go to around the knee again kind of 
Benefits of a full-body lymphatic m.txt	283	to work our way back up and so we're 	going 	to go up back up to the lower leg 
Circadia University Body Treatment.txt	283	dry brushing, you want to make sure that you're 	going 	to go up towards the heart. I'm going 
Circadia University Body Treatment.txt	283	it's promoting more circulation within the body. You’re 	going 	to go up towards the heart and also do 
Circadia University Body Treatment.txt	283	same technique as the arms and the stomach, we're 	going 	to go up towards the body, towards the heart. 
Benefits of a full-body lymphatic m.txt	282	ve stimulated the head and neck lymph nodes we're 	going 	to go the armpit lymph nodes and so whole 
Benefits of a full-body lymphatic m.txt	282	about doing five to eight in each section  i'm 	going 	to go the front  i'm going to go 
Benefits of a full-body lymphatic m.txt	282	section  i'm going to go the front  i'm 	going 	to go the inside make sure we're also 
Benefits of a full-body lymphatic m.txt	282	five to eight times and then from there we're 	going 	to go  towards the face so i like to 
Benefits of a full-body lymphatic m.txt	282	everything that we talk about in this area is actually 	going 	to go  towards the armpits so think about again 
Benefits of a full-body lymphatic m.txt	282	as you'd like working your way  around we're 	going 	to go towards the thigh so working from the 
Benefits of a full-body lymphatic m.txt	281	make sure we clear that so going back we're 	going 	to go from below the ear down the neck 
Benefits of a full-body lymphatic m.txt	281	it up a little bit for this and we're 	going 	to go from the wrist to the elbow getting 
Benefits of a full-body lymphatic m.txt	280	to get around those bony areas and then we're 	going 	to go also to that  inner elbow crease and 
Benefits of a full-body lymphatic m.txt	280	so we've cleared the whole area so we're 	going 	to go in reverse and so we're going 
Benefits of a full-body lymphatic m.txt	280	abdomen get everything working towards the pelvis then we're 	going 	to go into the leg area and so same 
Benefits of a full-body lymphatic m.txt	280	those kind of bony areas with your fingers we're 	going 	to go kind of in the front of the 
Benefits of a full-body lymphatic m.txt	280	or as much as you need and then we're 	going 	to go on to the wrist excuse me the 
Benefits of a full-body lymphatic m.txt	280	and feet and then when you're ready we're 	going 	to go right around the elbow making kind of 
Benefits of a full-body lymphatic m.txt	280	this is just general education only [Music]  now we're 	going 	to go step by step in this video so 
Circadia University Body Treatment.txt	280	motion as we did in the front; we're just 	going 	to go straight up towards the heart using vertical 
