Type	POS	Headword	Rank	Freq	Range
the			1	1560	10
and			2	996	10
to			3	918	10
you			4	738	10
that			5	642	10
of			6	639	10
a			7	538	10
we			8	501	9
so			9	474	10
in			10	380	10
it			11	376	10
is			12	359	10
s			13	352	10
i			14	337	9
re			14	337	9
going			16	274	9
on			17	243	10
then			18	221	8
or			19	214	10
can			20	207	10
for			21	205	10
as			22	194	10
just			23	181	9
with			24	177	10
do			25	174	9
have			26	173	9
this			27	159	10
like			28	148	10
if			29	143	10
all			30	142	8
massage			30	142	9
be			32	141	10
back			33	140	9
your			34	138	10
are			35	131	10
work			36	125	9
but			37	124	9
m			38	123	9
they			39	118	9
go			40	116	8
get			41	114	10
at			42	113	8
there			43	109	7
some			44	105	9
up			44	105	9
body			46	100	9
what			46	100	7
right			48	99	8
more			49	98	10
which			50	97	9
really			51	96	8
from			52	95	8
not			52	95	10
into			54	90	9
t			55	86	10
ve			56	85	9
about			57	84	8
little			58	82	9
my			58	82	8
out			58	82	9
those			61	80	8
would			62	76	8
want			63	74	9
area			64	73	7
uh			65	72	3
towards			66	71	4
ll			67	68	8
our			67	68	8
around			69	67	8
other			69	67	10
side			71	66	8
these			71	66	9
one			73	65	9
down			74	64	9
working			74	64	8
make			76	61	10
when			76	61	10
will			78	59	8
kind			79	58	5
same			80	57	7
very			80	57	8
now			82	55	9
see			82	55	9
again			84	54	8
bit			85	53	8
thing			85	53	5
here			87	52	9
lot			87	52	8
time			89	51	8
know			90	50	6
move			90	50	7
how			92	49	7
say			92	49	6
well			92	49	9
also			95	48	10
different			95	48	6
them			95	48	7
means			98	47	4
might			98	47	9
way			98	47	7
actually			101	46	6
cells			101	46	1
cell			103	45	1
come			103	45	6
okay			103	45	6
where			103	45	8
could			107	44	7
over			107	44	9
through			107	44	8
use			107	44	8
because			111	43	8
don			112	42	10
something			112	42	6
sure			112	42	8
tissue			112	42	4
deep			116	41	4
hand			116	41	6
lower			116	41	4
pain			116	41	6
lymph			120	40	2
client			121	39	6
two			121	39	7
first			123	38	8
foot			123	38	4
let			125	37	7
need			125	37	7
pressure			125	37	8
who			125	37	6
an			129	36	6
neck			129	36	6
start			129	36	8
their			129	36	8
together			129	36	6
any			134	35	9
has			134	35	7
therapist			134	35	5
look			137	34	4
nodes			137	34	2
arm			139	33	3
feel			139	33	8
front			139	33	4
got			139	33	6
help			139	33	7
much			139	33	8
things			139	33	7
me			146	32	7
medical			146	32	3
done			148	31	7
system			148	31	6
by			150	30	8
clients			150	30	7
doing			150	30	7
lymphatic			150	30	5
skin			150	30	9
think			150	30	7
nice			156	29	4
knee			157	28	4
next			157	28	8
after			159	27	6
before			159	27	9
five			159	27	5
good			159	27	8
hands			159	27	6
leg			159	27	4
swedish			165	26	1
technique			165	26	5
therapy			165	26	6
fingers			168	25	3
middle			168	25	4
muscle			168	25	5
people			168	25	5
find			172	24	6
than			172	24	9
words			172	24	2
armpit			175	23	1
everything			175	23	3
heart			175	23	5
looking			175	23	5
once			175	23	6
word			175	23	2
ahead			181	22	7
condition			181	22	4
day			181	22	6
each			181	22	5
inside			181	22	6
areas			186	21	5
call			186	21	2
coming			186	21	9
even			186	21	7
experience			186	21	4
getting			186	21	5
point			186	21	4
somebody			186	21	2
spend			186	21	4
take			186	21	6
terminology			186	21	1
terms			186	21	3
thigh			186	21	2
video			186	21	7
below			200	20	5
between			200	20	4
hip			200	20	6
meaning			200	20	4
outside			200	20	5
styles			200	20	1
systems			200	20	3
top			200	20	8
usually			200	20	4
whole			200	20	5
another			210	19	7
big			210	19	7
fluid			210	19	2
minutes			210	19	2
organs			210	19	3
points			210	19	3
put			210	19	5
such			210	19	4
term			210	19	2
trigger			210	19	2
upper			210	19	4
was			210	19	6
both			222	18	6
general			222	18	3
most			222	18	6
toes			222	18	2
d			226	17	5
gonna			226	17	3
medium			226	17	3
root			226	17	2
times			226	17	3
blood			231	16	4
comes			231	16	5
comfortable			231	16	6
doesn			231	16	6
give			231	16	6
great			231	16	5
release			231	16	1
sides			231	16	4
someone			231	16	3
sometimes			231	16	5
throughout			231	16	5
using			231	16	7
circles			243	15	2
direction			243	15	3
drainage			243	15	3
eight			243	15	2
elbow			243	15	3
had			243	15	6
head			243	15	5
left			243	15	4
moving			243	15	7
place			243	15	5
practice			243	15	4
probably			243	15	5
relief			243	15	3
shoulders			243	15	4
still			243	15	7
three			243	15	7
along			259	14	2
best			259	14	6
brushing			259	14	1
com			259	14	10
end			259	14	7
face			259	14	2
few			259	14	6
finish			259	14	4
level			259	14	4
only			259	14	5
process			259	14	7
tissues			259	14	3
um			259	14	3
us			259	14	4
years			259	14	3
abdomen			274	13	1
across			274	13	2
bone			274	13	3
dry			274	13	1
either			274	13	6
idea			274	13	4
making			274	13	6
muscles			274	13	4
myofascial			274	13	1
no			274	13	6
off			274	13	7
spine			274	13	5
sports			274	13	2
table			274	13	3
techniques			274	13	3
today			274	13	6
totally			274	13	3
try			274	13	4
understand			274	13	2
used			274	13	4
ankle			294	12	3
balance			294	12	2
base			294	12	4
being			294	12	7
belly			294	12	1
better			294	12	6
energy			294	12	3
focus			294	12	4
having			294	12	5
however			294	12	5
last			294	12	6
menu			294	12	1
nerve			294	12	4
normal			294	12	4
