File	KPF	Left Context	Hit	Right Context
The Effects of Abdominal I LOV U Ma.txt	38	checklist.   7 2.3.1 Demographic and disease information form. This form was structured 	by 	the researchers according to the literature. That has two 
The Effect of Self-Massage on Immun.txt	38	treatment group were initially trained in the self-massage techniques 	by 	the researchers and provided an illustrated guide containing detailed 
The Effects of Abdominal I LOV U Ma.txt	38	Food intake and defecation daily checklist The checklist was designed 	by 	the researchers. It was concluded three parts. First the 
The Effect of Self-Massage on Immun.txt	38	reported their session completion via weekly phone check-ins conducted 	by 	the researchers. Safety was evaluated by monitoring any adverse 
Beyond the Barriers Alternative Pay.txt	38	industries and likened their own current practices to APSs described 	by 	the researchers: “What I have noticed … are hairdressers or 
The Effects of Abdominal I LOV U Ma.txt	36	The content and face validity of the checklist, was confirmed 	by 	the help of 10 faculty members (gastrointestinal nurses and specialists) 
The Effects of Abdominal I LOV U Ma.txt	36	the demographic and disease form, and the CAS were completed 	by 	the help of the patient's key care giver. 
The Effects of Abdominal I LOV U Ma.txt	36	this study.  All of  the financial costs have  been supported  	by 	the research deputy of Mashhad University of Medical Sciences. 
The Effects of Abdominal I LOV U Ma.txt	36	this study. All of the financial costs have been supported 	by 	the research deputy of Mashhad University of Medical Sciences   
The Effects of Abdominal I LOV U Ma.txt	35	daily for ten days that was performed at first session 	by 	the researcher and   2 then  continued  by  the  key  care  
