Left Context	Hit	Right Context
spend as much time as you want then  we're 	going 	to go ahead and make sure we clear that 
help remove any dead skin.  Dry Brushing Technique We’re 	going 	to go ahead and start our dry brushing. With 
or right before you wax.  Back Brushing Now we're 	going 	to go ahead and turn my client over. In 
getting two for the price of one. Now we're 	going 	to go ahead and complete the other steps on 
articular cartilage does not refer to bone, but we're 	going 	to go ahead and scoot that aside and put 
re going to go in reverse and so we're 	going 	to go back up the arm doing the same 
re going back to the hand and then we're 	going 	to go back to the lower arm working towards 
your own and once you've done that you're 	going 	to go back up to the upper arm so 
for the sake of the video and then we're 	going 	to go back to the thigh and so from 
they can spend more time there but then we're 	going 	to go back up towards the ankle to the 
