File	KPF	Left Context	Hit	Right Context
Nervous System Reset Self foot re.txt	17	to an end I'll move into slow caring touches 	just 	to give some love to the foot and just 
Circadia University Body Treatment.txt	17	drape. I like to hold my client's ankles underneath 	just 	to give them a little bit more support and 
Nervous System Reset Self foot re.txt	17	or ear infections or conditions, then this can be wonderful 	just 	to work across the toes. As we move to 
Nervous System Reset Self foot re.txt	17	you suffer with ovarian pain, PMS, heavy periods.  Really great 	just 	to work over the ankle.  So that is the 
The FULL GUIDE to ALL MASSAGE STYLE.txt	16	say about it. I'll say a little bit more 	just 	to distinguish. It's very very light surface level 
Nervous System Reset Self foot re.txt	16	just go down to the ankle.  It feels really nice 	just 	to do some circles here to help with flexibility 
The FULL GUIDE to ALL MASSAGE STYLE.txt	16	after the event, it's also very light, very fast, 	just 	to help flush all the tissue and kind of 
Nervous System Reset Self foot re.txt	16	solar plexus to become tight. So, it's really nice 	just 	to hold in and take some deep breaths at 
Nervous System Reset Self foot re.txt	16	nice slow movements with my thumb or palm. This is 	just 	to keep the foot nice and warm and relaxed 
Nervous System Reset Self foot re.txt	16	seven and a half thousand nerve endings in the feet 	just 	to let the feet know that we are now 
