File	KPF	Left Context	Hit	Right Context
Beyond the Barriers Alternative Pay.txt	231	view but went further, noting how important massage is, saying “	massage 	therapy is a luxury for some people, and a 
Editorial.txt	231	s image. To the public, it may be unclear whether 	massage 	therapy is a health service, a wellness experience, or 
Editorial.txt	231	the result is uncertainty. Potential clients may not understand whether 	massage 	therapy is a clinical intervention, a wellness service, or 
Beyond the Barriers Alternative Pay.txt	231	installment scheme was preferred by MTs and massage clients.  Conclusion 	Massage 	therapy is a valuable health and wellness tool for 
JAMA Netw Open. 2024 Jul 15;7(7)e24.txt	231	that had greater than low certainty of evidence.  Abstract Importance 	Massage 	therapy is a popular treatment that has been advocated 
JAMA Netw Open. 2024 Jul 15;7(7)e24.txt	231	rated the evidence low to very low certainty of evidence.  	Massage 	therapy is a broad term that is inclusive of 
Beyond the Barriers Alternative Pay.txt	228	Smith, PhD1  1Southern Institute of Technology, Invercargill, New Zealand Background 	Massage 	therapy is an increasingly utilized user-pays service in 
How NCAA Basketball Teams Are Using.txt	228	uses massage therapy as both a preventive and restorative measure. “	Massage 	therapy is an integral part of our comprehensive program,” 
How NCAA Basketball Teams Are Using.txt	228	soft tissue work and small windows for treatment,” Fonseca says.  	Massage 	therapy is an integral part of our comprehensive program.   
Beyond the Barriers Alternative Pay.txt	227	progress thinking in this area for MTs.  CONCLUSIONS Accessing regular 	massage 	therapy is too expensive for many people in Aotearoa 
Beyond the Barriers Alternative Pay.txt	227	other barriers to your accessing regular massage?  10. Do you think 	massage 	therapy is too expensive?  11. What price would or could 
Editorial.txt	226	work highlighted that professional maturity involves not only defining what 	massage 	therapy is but also developing the terminology to describe 
Pain Med. 2016 May 10;17(7)1353–137.txt	226	and may be better addressed through a holistic, biopsychosocial approach. 	Massage 	therapy is commonly practiced among patients seeking pain management; 
Beyond the Barriers Alternative Pay.txt	226	however, one of the main factors for people discontinuing seeking 	massage 	therapy is cost.(4,5) In Aotearoa New Zealand, massage therapy 
JAMA Netw Open. 2024 Jul 15;7(7)e24.txt	226	there was still a lack of clarity in determining what 	massage 	therapy is. For instance, acupressure was sometimes considered acupuncture 
Editorial.txt	226	has aimed to establish a shared conceptual foundation for what 	massage 	therapy is. Kennedy, Cambron, Sharpe, Travillian, and Saunders(6) convened 
Beyond the Barriers Alternative Pay.txt	226	discontinuing seeking massage therapy is cost.(4,5) In Aotearoa New Zealand, 	massage 	therapy is not covered by the Accident Compensation Corporation (
