Type	POS	Headword	Rank	Freq	Range
the			1	2034	10
and			2	1374	10
of			3	1233	10
in			4	955	10
to			5	799	10
a			6	776	10
massage			7	646	10
for			8	430	10
with			9	392	10
that			10	315	10
is			11	280	10
as			12	271	10
was			13	261	9
on			14	239	10
constipation			15	214	2
therapy			15	214	9
this			17	209	10
were			18	200	9
abdominal			19	199	2
s			20	198	10
study			21	184	9
or			22	180	10
by			23	166	10
be			24	163	10
it			25	162	10
are			26	151	10
https			27	136	8
group			28	132	7
health			29	126	9
org			29	126	7
doi			31	125	8
intervention			32	123	7
patients			33	117	6
al			34	111	7
an			34	111	10
et			34	111	7
i			37	109	8
pain			37	109	9
research			39	108	9
not			40	105	10
j			41	102	7
their			41	102	9
from			43	100	10
have			44	99	10
you			44	99	2
may			46	97	10
can			47	96	10
elderly			48	93	3
these			49	91	10
care			50	88	9
self			50	88	8
such			52	87	9
client			53	86	4
m			54	82	8
would			55	81	6
stress			56	79	6
treatment			56	79	10
clients			58	78	4
tightness			58	78	1
effects			60	77	8
there			60	77	10
they			60	77	8
also			63	75	10
more			64	74	10
while			64	74	10
but			66	73	10
we			66	73	6
evidence			68	72	7
p			68	72	7
immune			70	71	1
significant			71	70	8
adults			72	69	4
muscle			72	69	4
at			74	68	10
management			75	66	7
quality			76	64	8
control			77	63	6
crossref			77	63	5
life			77	63	7
studies			77	63	7
both			81	62	9
has			81	62	10
patient			81	62	5
review			81	62	8
clinical			85	61	8
how			85	61	8
participants			85	61	5
e			88	60	9
mts			88	60	1
all			90	59	10
during			90	59	7
its			90	59	7
reported			93	58	6
results			93	58	8
using			93	58	9
assessment			96	57	7
no			96	57	10
time			96	57	9
cgh			99	56	1
if			99	56	8
emotional			101	55	2
which			101	55	10
each			103	54	9
some			103	54	8
use			103	54	10
who			103	54	9
could			107	53	8
function			108	52	7
about			109	50	9
training			109	50	7
do			111	49	6
older			111	49	4
symptoms			111	49	6
language			114	48	4
well			114	48	9
cervical			116	47	1
figure			116	47	5
through			116	47	9
what			116	47	6
between			120	46	9
effect			120	46	7
outcomes			120	46	7
physical			120	46	8
pubmed			120	46	6
after			125	45	7
body			125	45	8
had			125	45	7
most			125	45	9
practice			125	45	7
present			125	45	5
