Type	Rank	Freq	Range
were used in	1	6	5
were collected at	2	3	3
were in the	2	3	1
were rated as	2	3	1
were allocated in	5	2	1
were also observed	5	2	1
were aware of	5	2	1
were consistent with	5	2	1
were delivered in	5	2	1
were more frequently	5	2	1
were no object	5	2	1
were not statistically	5	2	2
were observed for	5	2	1
were performed in	5	2	1
were randomly assigned	5	2	1
were taking food	5	2	1
were you aware	5	2	1
were a really	18	1	1
were accompanied by	18	1	1
were adequately addressed	18	1	1
were administration transparency	18	1	1
were admitted to	18	1	1
were aimed at	18	1	1
were allocated to	18	1	1
were also excluded	18	1	1
were also seen	18	1	1
were analyzed by	18	1	1
were analyzed using	18	1	1
were as follows	18	1	1
were asked to	18	1	1
were assessed for	18	1	1
were assessed using	18	1	1
were at first	18	1	1
were blinded to	18	1	1
were categorized as	18	1	1
were cc in	18	1	1
were cognizant of	18	1	1
were cognizant that	18	1	1
were collected by	18	1	1
were collected immediately	18	1	1
were common across	18	1	1
were completed and	18	1	1
were completed before	18	1	1
were completed by	18	1	1
were completed daily	18	1	1
were completely professional	18	1	1
were conclusions that	18	1	1
were conducted after	18	1	1
were conducted for	18	1	1
were conducted to	18	1	1
were conducted using	18	1	1
were considered because	18	1	1
were considered for	18	1	1
were continued until	18	1	1
were continuously monitored	18	1	1
were currently practicing	18	1	1
were days after	18	1	1
were detected in	18	1	1
were diagnosed with	18	1	1
were different some	18	1	1
were discharged before	18	1	1
were divided in	18	1	1
were echoed by	18	1	1
were employed mts	18	1	1
were examined by	18	1	1
were explicitly labeled	18	1	1
were expressed as	18	1	1
were female and	18	1	1
were female three	18	1	1
were few conclusions	18	1	1
were found of	18	1	1
were found positive	18	1	1
were found to	18	1	1
were free to	18	1	1
were frequently used	18	1	1
were going to	18	1	1
were happy to	18	1	1
were high or	18	1	1
were homogeneous in	18	1	1
were hospitalized more	18	1	1
were immune status	18	1	1
were included in	18	1	1
were included key	18	1	1
were increased accessibility	18	1	1
were increased two	18	1	1
were increased use	18	1	1
were ineligible as	18	1	1
were initially classified	18	1	1
were initially trained	18	1	1
were intake food	18	1	1
were interviewed either	18	1	1
were interviewed face	18	1	1
were introduced the	18	1	1
were involved unwillingness	18	1	1
were limited it	18	1	1
were living in	18	1	1
were lower in	18	1	1
were made immediately	18	1	1
were made in	18	1	1
were made into	18	1	1
