Type	Rank	Freq	Range
we re going to	1	99	7
i m going to	2	44	6
you re going to	3	35	7
re going to go	4	32	3
then we re going	5	25	1
the back of the	6	24	3
and then we re	7	21	1
a little bit more	8	19	6
going to move on	9	14	3
re going to do	9	14	4
re going to move	11	13	3
we re looking at	11	13	2
around towards the front	13	12	1
move on to the	14	11	3
on the other side	14	11	2
so i m going	14	11	2
to move on to	14	11	3
https www youtube com	18	10	10
so we re going	18	10	2
www youtube com watch	18	10	10
youtube com watch v	18	10	10
going to start with	22	9	1
re going to be	22	9	4
re going to work	22	9	1
want to make sure	22	9	4
when it comes to	22	9	3
and we re going	27	8	3
as much time as	27	8	1
is what we call	27	8	1
it s going to	27	8	3
much time as you	27	8	1
that you re going	27	8	5
a little bit of	33	7	4
and then there s	33	7	2
if you want to	33	7	3
it s a little	33	7	3
make sure that you	33	7	3
now we re going	33	7	2
re looking at is	33	7	1
same thing on the	33	7	1
the middle of the	33	7	2
the top of the	33	7	3
to make sure that	33	7	4
to the other side	33	7	3
after you ve done	45	6	2
and so we re	45	6	1
and then you can	45	6	2
breath in and out	45	6	1
going to look at	45	6	1
i m just going	45	6	3
lymph nodes that are	45	6	1
m just going to	45	6	3
of the neck and	45	6	2
re going to get	45	6	2
re going to start	45	6	2
s going to be	45	6	3
the inside of the	45	6	4
thing on the other	45	6	1
to go ahead and	45	6	4
as much as you	60	5	1
can go ahead and	60	5	3
going to do the	60	5	2
going to go ahead	60	5	3
going to go back	60	5	1
going to go to	60	5	1
is going to be	60	5	3
m going to move	60	5	2
make sure we re	60	5	1
of the big toe	60	5	1
side of the back	60	5	1
so that s the	60	5	4
spend as much time	60	5	1
the back and then	60	5	2
the base of the	60	5	2
the foot and the	60	5	2
the front of the	60	5	2
the side of the	60	5	1
to go to the	60	5	1
to make sure we	60	5	1
to start with the	60	5	1
a lot of people	81	4	3
again if you want	81	4	1
all the way down	81	4	1
and after you ve	81	4	1
and bodywork licensing exam	81	4	1
and so i m	81	4	1
and so that s	81	4	3
and then once you	81	4	3
and then same thing	81	4	1
back down the back	81	4	1
back of the hand	81	4	1
but we re going	81	4	2
circular motions as well	81	4	1
come together to make	81	4	1
do a lot of	81	4	2
do the exact same	81	4	1
don t have to	81	4	2
five to eight times	81	4	1
foot and the toes	81	4	1
from here i m	81	4	1
