Type	Rank	Freq	Range
just going to	1	10	4
just want to	2	6	2
just make sure	3	4	3
just be willing	4	3	1
just kind of	4	3	3
just so that	4	3	3
just a few	7	2	2
just be gentle	7	2	1
just do some	7	2	1
just don t	7	2	2
just go ahead	7	2	2
just like the	7	2	2
just to give	7	2	2
just to work	7	2	1
just work over	7	2	1
just a fact	16	1	1
just a good	16	1	1
just a little	16	1	1
just a moment	16	1	1
just a quick	16	1	1
just a rapid	16	1	1
just a the	16	1	1
just a thing	16	1	1
just all about	16	1	1
just an opinion	16	1	1
just apply slightly	16	1	1
just applying this	16	1	1
just as much	16	1	1
just at the	16	1	1
just be careful	16	1	1
just because you	16	1	1
just being mindful	16	1	1
just below the	16	1	1
just bend the	16	1	1
just brush towards	16	1	1
just by these	16	1	1
just by working	16	1	1
just cleaning the	16	1	1
just direct towards	16	1	1
just do a	16	1	1
just do circles	16	1	1
just do nice	16	1	1
just do them	16	1	1
just do to	16	1	1
just does take	16	1	1
just doing deep	16	1	1
just doing it	16	1	1
just doing swedish	16	1	1
just doing this	16	1	1
just done about	16	1	1
just easier to	16	1	1
just easy to	16	1	1
just engulf it	16	1	1
just fine too	16	1	1
just finish off	16	1	1
just for timing	16	1	1
just gather the	16	1	1
just general education	16	1	1
just gentle circles	16	1	1
just get as	16	1	1
just get into	16	1	1
just give it	16	1	1
just give you	16	1	1
just gives you	16	1	1
just glide the	16	1	1
just go down	16	1	1
just go straight	16	1	1
just got the	16	1	1
just grow a	16	1	1
just guiding the	16	1	1
just have like	16	1	1
just helps to	16	1	1
just here focus	16	1	1
just here is	16	1	1
just here just	16	1	1
just hold on	16	1	1
just holding into	16	1	1
just i feel	16	1	1
just in the	16	1	1
just in time	16	1	1
just just so	16	1	1
just know that	16	1	1
just knowing that	16	1	1
just light to	16	1	1
just like a	16	1	1
just like do	16	1	1
just like i	16	1	1
just like shiatsu	16	1	1
just like to	16	1	1
just like we	16	1	1
just like you	16	1	1
just like your	16	1	1
just meant to	16	1	1
just not my	16	1	1
just note this	16	1	1
just offer you	16	1	1
just on the	16	1	1
just one box	16	1	1
just open up	16	1	1
just pay some	16	1	1
