Type	Rank	Freq	Range
back down the back	1	4	1
back of the hand	1	4	1
back of the neck	3	3	2
back of the thigh	3	3	1
back up to the	3	3	2
back and then from	6	2	1
back of the knee	6	2	1
back of the leg	6	2	1
back of the lower	6	2	1
back up towards the	6	2	1
back and again you	11	1	1
back and as i	11	1	1
back and do them	11	1	1
back and down towards	11	1	1
back and even go	11	1	1
back and everything from	11	1	1
back and i m	11	1	1
back and lumbar so	11	1	1
back and neck can	11	1	1
back and on the	11	1	1
back and so again	11	1	1
back and so we	11	1	1
back and the sides	11	1	1
back and then after	11	1	1
back and then coming	11	1	1
back and then you	11	1	1
back and you can	11	1	1
back anywhere between four	11	1	1
back area it actually	11	1	1
back area we re	11	1	1
back around towards the	11	1	1
back as well once	11	1	1
back as you can	11	1	1
back because of those	11	1	1
back bone fracture would	11	1	1
back bring the fingers	11	1	1
back brushing now we	11	1	1
back com off the	11	1	1
back cross the shoulders	11	1	1
back down but it	11	1	1
back elbow to the	11	1	1
back feet now we	11	1	1
back first then come	11	1	1
back five to eight	11	1	1
back foundation massage techniques	11	1	1
back i m going	11	1	1
back if someone can	11	1	1
back in the other	11	1	1
back in the rib	11	1	1
back into a sweep	11	1	1
back into balance and	11	1	1
back into doing myofascial	11	1	1
back it s the	11	1	1
back kind of wrap	11	1	1
back myo would be	11	1	1
back nice and uh	11	1	1
back of my neck	11	1	1
back of the arm	11	1	1
back of the armpit	11	1	1
back of the diagram	11	1	1
back of the heel	11	1	1
back of the legs	11	1	1
back of the scapula	11	1	1
back of the shoulder	11	1	1
back of the vertebral	11	1	1
back okay so i	11	1	1
back okay then from	11	1	1
back on each side	11	1	1
back on one side	11	1	1
back or lower back	11	1	1
back or other times	11	1	1
back or they have	11	1	1
back or this or	11	1	1
back out naturally draining	11	1	1
back pain any of	11	1	1
back pain bulge discs	11	1	1
back pain knee pain	11	1	1
back pain shoulder pain	11	1	1
back pain you tore	11	1	1
back region if you	11	1	1
back region including uage	11	1	1
back same thing and	11	1	1
back same thing lower	11	1	1
back skin would be	11	1	1
back so i can	11	1	1
back so i like	11	1	1
back so making sure	11	1	1
back so sometimes on	11	1	1
back so the pressure	11	1	1
back sometimes your clients	11	1	1
back then we would	11	1	1
back there and then	11	1	1
back they re actually	11	1	1
back three to four	11	1	1
back thumbs to fingers	11	1	1
back to back as	11	1	1
back to circadia university	11	1	1
back to complete the	11	1	1
back to the back	11	1	1
back to the hand	11	1	1
