Type	Rank	Freq	Range
by the researchers	1	5	3
by an i	2	4	1
by cohen and	3	3	1
by measuring the	3	3	1
by e with	5	2	1
by including soft	5	2	1
by modifying intra	5	2	1
by seyed rasouli	5	2	1
by showing not	5	2	1
by the help	5	2	1
by the research	5	2	1
by the researcher	5	2	1
by unilateral pain	5	2	1
by a book	14	1	1
by a meter	14	1	1
by a mixed	14	1	1
by a person	14	1	1
by a researcher	14	1	1
by a s	14	1	1
by a specific	14	1	1
by a third	14	1	1
by acc or	14	1	1
by accessing these	14	1	1
by addressing both	14	1	1
by adolescent binge	14	1	1
by advancing collaboration	14	1	1
by although practitioners	14	1	1
by altun uğraş	14	1	1
by applying a	14	1	1
by applying the	14	1	1
by art and	14	1	1
by asking these	14	1	1
by bartlett and	14	1	1
by both groups	14	1	1
by both mts	14	1	1
by both patients	14	1	1
by but the	14	1	1
by caregivers or	14	1	1
by cgh to	14	1	1
by cgh with	14	1	1
by clients colleagues	14	1	1
by clients pay	14	1	1
by considering the	14	1	1
by david malone	14	1	1
by day these	14	1	1
by day with	14	1	1
by dehghan et	14	1	1
by each participant	14	1	1
by evidence indicating	14	1	1
by evidence we	14	1	1
by examiner muscle	14	1	1
by examiner using	14	1	1
by examining its	14	1	1
by extension its	14	1	1
by fatehipour et	14	1	1
by game basis	14	1	1
by hanai et	14	1	1
by hand on	14	1	1
by hard or	14	1	1
by having individual	14	1	1
by hence paying	14	1	1
by i love	14	1	1
by in the	14	1	1
by incorporating both	14	1	1
by increased physical	14	1	1
by increasing lymphocyte	14	1	1
by installments setting	14	1	1
by inter observer	14	1	1
by knowledge through	14	1	1
by literature when	14	1	1
by load tissue	14	1	1
by massage therapy	14	1	1
by mc millan	14	1	1
by medical follow	14	1	1
by mild to	14	1	1
by modulating immune	14	1	1
by mokhtare et	14	1	1
by monitoring any	14	1	1
by mt i	14	1	1
by mt there	14	1	1
by mts and	14	1	1
by mts with	14	1	1
by multifaceted challenges	14	1	1
by nia and	14	1	1
by non users	14	1	1
by nurses as	14	1	1
by obtaining the	14	1	1
by of the	14	1	1
by others each	14	1	1
by over the	14	1	1
by phone contact	14	1	1
by placing a	14	1	1
by poor posture	14	1	1
by providing a	14	1	1
by recording the	14	1	1
by reduced mobility	14	1	1
by reduced symptom	14	1	1
by reduction in	14	1	1
by relevant literature	14	1	1
by rotation to	14	1	1
