Type	Rank	Freq	Range
back and cervical region	1	1	1
back and chest in	1	1	1
back and lower limbs	1	1	1
back and neck specifically	1	1	1
back external oblique figure	1	1	1
back hips and thigh	1	1	1
back lower back and	1	1	1
back muscles can also	1	1	1
back occipital ridge figure	1	1	1
back of the body	1	1	1
back of their thigh	1	1	1
back pain and greater	1	1	1
back pain and labor	1	1	1
back pain associated with	1	1	1
back pain receiving professional	1	1	1
back pain related healthcare	1	1	1
back pain results of	1	1	1
back rather than releasing	1	1	1
back thoracolumbar fascia and	1	1	1
back to arslan it	1	1	1
back to the s	1	1	1
back trapezius lower back	1	1	1
back trigger points providing	1	1	1
